Категория;Позиция;Ед. заказа (для сотрудника);Фасовка / вес (подпись для учёта);Цена за ед., ₽
Упаковка и одноразовая посуда;Соусники пластиковые с крышкой 50 мл;шт;;
Упаковка и одноразовая посуда;Крафтовые супницы с крышкой;шт;;
Упаковка и одноразовая посуда;Крафтовые контейнеры с крышкой;шт;;
Упаковка и одноразовая посуда;Контейнер для бургера;шт;;
Упаковка и одноразовая посуда;Коробки для пиццы 26×26;шт;;
Упаковка и одноразовая посуда;Крафтовые стаканы 400 мл;шт;;
Упаковка и одноразовая посуда;Крышки чёрные к кофейному стакану;шт;;
Упаковка и одноразовая посуда;Стаканы матовые bubble cup tea 500 мл;шт;;
Упаковка и одноразовая посуда;Крышки к bubble cup;шт;;
Упаковка и одноразовая посуда;Контейнеры пластиковые 1 л и крышки к ним;шт;;
Упаковка и одноразовая посуда;Контейнер круглый пластик чёрный 400 мл и крышка;шт;;
Упаковка и одноразовая посуда;Крафтовые пакеты с ручкой;шт;;
Упаковка и одноразовая посуда;Конверт крафтовый для приборов;шт;;
Одноразовые приборы и аксессуары;Пластиковые вилки;шт;;
Одноразовые приборы и аксессуары;Пластиковые ножи;шт;;
Одноразовые приборы и аксессуары;Пластиковые ложки суповые;шт;;
Одноразовые приборы и аксессуары;Палочки для роллов бамбуковые (инд. упаковка);шт;;
Одноразовые приборы и аксессуары;Шпажки с бусиной;шт;;
Одноразовые приборы и аксессуары;Трубочки прозрачные;шт;;
Одноразовые приборы и аксессуары;Зубочистки (инд. упаковка);шт;;
Одноразовые приборы и аксессуары;Бамбуковая пика «гольф» 12 см;шт;;
Одноразовые приборы и аксессуары;Прищепки 2,5 см;шт;;
Одноразовые приборы и аксессуары;Бечёвка (шпагат);шт;;
Салфетки, полотенца, гигиена для гостей;Салфетки Шампань 33×33;шт;;
Салфетки, полотенца, гигиена для гостей;Салфетки чёрные 24×24;шт;;
Салфетки, полотенца, гигиена для гостей;Влажные салфетки (инд. упаковка);шт;;
Салфетки, полотенца, гигиена для гостей;Бумажные полотенца (V-сложения);шт;;
Салфетки, полотенца, гигиена для гостей;Туалетная бумага гостевая;шт;;
Салфетки, полотенца, гигиена для гостей;Мыло в гостевую уборную;шт;;
Салфетки, полотенца, гигиена для гостей;Перчатки чёрные для гостей L;шт;;
Уборочная химия и чистящие средства;DESO дезинфицирующее средство;шт;;
Уборочная химия и чистящие средства;Средство для мытья стекол и зеркал;шт;;
Уборочная химия и чистящие средства;Азелит (антижир);шт;;
Уборочная химия и чистящие средства;Моющее средство для посуды;шт;;
Уборочная химия и чистящие средства;Гель «Белизна»;шт;;
Уборочная химия и чистящие средства;Санокс — чистящее для сантехники;шт;;
Уборочная химия и чистящие средства;Чистин — чистящее с хлором;шт;;
Уборочная химия и чистящие средства;Сода пищевая;шт;;
Уборочный инвентарь и ветошь;Губки для мытья посуды;шт;;
Уборочный инвентарь и ветошь;Губки для посуды из нержавейки;шт;;
Уборочный инвентарь и ветошь;Микрофибра;шт;;
Уборочный инвентарь и ветошь;Вафельное полотно;шт;;
Уборочный инвентарь и ветошь;Тряпка для мытья пола;шт;;
Уборочный инвентарь и ветошь;Протирка голубая (рулон);шт;;
Для персонала и кухни;Перчатки кухонные M;шт;;
Для персонала и кухни;Перчатки кухонные L;шт;;
Для персонала и кухни;Фартуки полиэтиленовые 80×120;шт;;
Для персонала и кухни;Мыло для персонала (staff);шт;;
Кухонные расходные материалы;Плёнка пищевая (30 и 45 см);шт;;
Кухонные расходные материалы;Фольга в рулоне 45 см;шт;;
Кухонные расходные материалы;Пергамент силиконизированный;шт;;
Кухонные расходные материалы;Вакуумные пакеты (160×210, 250×350, 300×400);шт;;
Кухонные расходные материалы;Фасовочные пакеты 18×27;шт;;
Мусорные мешки;Мусорные мешки 240 л;шт;;
Мусорные мешки;Мусорные мешки 120 л;шт;;
Мусорные мешки;Мусорные мешки 30 л;шт;;
Свечи, декор, атмосфера;Благовония (аромапалочки);шт;;
Свечи, декор, атмосфера;Воск и фитиль для свечей;шт;;
Свечи, декор, атмосфера;Свечи «фонтан»;шт;;
Свечи, декор, атмосфера;Пиро-бумага;шт;;
Канцелярия и офис;Бумага А4;шт;;
Канцелярия и офис;Скобы для степлера;шт;;
Канцелярия и офис;Блокноты (малые/большие);шт;;
Канцелярия и офис;Ручки, карандаши цветные;шт;;
Канцелярия и офис;Корректор, ножницы;шт;;
Канцелярия и офис;Скотч малярный;шт;;
Канцелярия и офис;Скотч обычный;шт;;
Канцелярия и офис;Изолента;шт;;
Канцелярия и офис;Маркировочная лента;шт;;
Канцелярия и офис;Маркер меловой;шт;;
Прочее;Чековая лента для терминалов широкая;шт;;
Прочее;Чековая лента для терминалов узкая;шт;;
Прочее;Газ в баллонах;шт;;
Прочее;Раскраски для детей;шт;;
